word,class
prix,financier
coût,financier
cout,financier
montant,financier
nombre,quantité
quantité,quantité
total,quantité
vitesse,accessibilité
rapidité,accessibilité
fréquence,accessibilité
période,accessibilité
efficacité,efficacité
gratuité,financier
disponibilité,accessibilité
desserte,accessibilité
facilité,accessibilité
fiabilité,efficacité
offre,financier
tarif,financier
flexibilité,accessibilité
connexion,accessibilité
