http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#ligne,,,,"'ligne'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#ligne_de_bus,,,,"'ligne de bus'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#ligne_de_train,,,"'ligne ferroviaire'","'ligne de train'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#ligne_de_tramway,,,"'ligne de tram'","'ligne de tramway'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#marchand,,,"'fret'","'marchand'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#marche,,,,"'marche'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#marcher,,,,"'marcher'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#ouibus,,,,"'ouibus'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#ouigo,,,,"'ouigo'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#passager,,,,"'passager'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#petite_ligne,,,,"'petite ligne'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#port,,,,"'port'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#pratique,,,,,,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#privé,,,,"'privé'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#publique,,,,"'publique'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#pédaler,,,,"'pédaler'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#renouvelable,,,,"'renouvelable'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#rouler,,,,"'rouler'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#route,,,,"'route'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#routier,,,,"'routier'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#rue,,,"'avenue'	'boulevard'","'rue'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#réseau,,,,"'réseau'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#se_déplacer,,,,"'se déplacer'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#sncf,,,"'S.N.C.F.'","'sncf'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#station,,,,"'station'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#ter,,,,"'ter'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#tgv,,,,"'tgv'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#train,,,,"'train'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#trajet,,,,"'trajet'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#trajet_professionnel,,,"'déplacement profesionnel'","'trajet professionnel'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#tramway,,,"'tram'","'tramway'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#transport,,,,"'transport'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#trotinette,,,,"'trotinette'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#usager,,,,"'usager'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#utilisateur,,,,"'utilisateur'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voie,,,,"'voie'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voie_cyclable,,,"'bande cyclable'	'piste cyclable'	'véloroute'","'voie cyclable'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voie_de_bus,,,,"'voie de bus'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voie_de_chemin_de_fer,,,"'voie ferrée'	'LGV'","'voie de chemin de fer'",,,
http://www.semanticweb.org/lentschat_admin/ontologies/2020/4/untitled-ontology-15#voie_de_tramway,,,"'voie de tram'","'voie de tramway'",,,
